viffi_cl1_line,viffi_cl2_line
987,1057
364,434
2037,2107
1282,1352
372,442
1496,1566
1360,1430
1564,1634
1974,2044
823,893
1643,1713
2013,2083
791,861
1595,1665
259,329
1015,1085
1793,1863
618,688
1644,1714
802,872
451,521
1165,1235
1304,1374
1795,1865
793,863
345,415
689,759
1935,2005
2287,2357
1188,1258
1522,1592
1356,1426
652,722
2253,2323
273,343
2232,2302
245,315
1165,1235
1511,1581
271,341
118,188
782,852
706,776
1931,2001
263,333
865,935
2026,2096
2105,2175
223,293
855,925
47,117
426,496
2047,2117
936,1006
809,879
486,556
1649,1719
1767,1837
432,502
1449,1519
848,918
970,1040
2113,2183
182,252
196,266
1432,1502
75,145
1329,1399
900,970
2220,2290
1678,1748
1656,1726
1115,1185
1821,1891
547,617
1072,1142
1346,1416
943,1013
1894,1964
448,518
1962,2032
1289,1359
615,685
694,764
1539,1609
1187,1257
1432,1502
475,545
1926,1996
501,571
1835,1905
1972,2042
2345,2415
75,145
550,620
125,195
1002,1072
1491,1561
257,327
892,962
601,671
1825,1895
2064,2134
1600,1670
553,623
1844,1914
267,337
541,611
441,511
814,884
9,79
2311,2381
710,780
227,297
2156,2226
757,827
1113,1183
1324,1394
1258,1328
63,133
1025,1095
272,342
1116,1186
1594,1664
882,952
547,617
284,354
1524,1594
827,897
1581,1651
1148,1218
1543,1613
2089,2159
1385,1455
1889,1959
2223,2293
1292,1362
1466,1536
557,627
1447,1517
1696,1766
1016,1086
2186,2256
137,207
465,535
1247,1317
2293,2363
970,1040
559,629
1268,1338
25,95
28,98
1823,1893
2181,2251
1397,1467
953,1023
800,870
1110,1180
2027,2097
1018,1088
2274,2344
1192,1262
27,97
1094,1164
479,549
1984,2054
1026,1096
769,839
76,146
2036,2106
2140,2210
541,611
1089,1159
1784,1854
1943,2013
1113,1183
786,856
815,885
1181,1251
1431,1501
92,162
1357,1427
1068,1138
1617,1687
2080,2150
1172,1242
1959,2029
69,139
661,731
2211,2281
2115,2185
545,615
1395,1465
332,402
2073,2143
2076,2146
1582,1652
1858,1928
296,366
2339,2409
226,296
70,140
641,711
286,356
527,597
2040,2110
285,355
1999,2069
1469,1539
2247,2317
1356,1426
1024,1094
1036,1106
2271,2341
1889,1959
602,672
540,610
362,432
2119,2189
1893,1963
941,1011
569,639
2000,2070
366,436
1691,1761
1237,1307
1445,1515
374,444
461,531
1606,1676
74,144
2235,2305
614,684
609,679
1869,1939
1052,1122
1776,1846
2044,2114
1438,1508
1802,1872
2256,2326
1793,1863
674,744
2286,2356
2228,2298
563,633
63,133
2050,2120
1096,1166
139,209
2352,2422
94,164
89,159
1253,1323
1701,1771
1950,2020
2103,2173
1161,1231
914,984
797,867
342,412
520,590
1492,1562
1190,1260
880,950
705,775
1344,1414
999,1069
2065,2135
779,849
871,941
2330,2400
1127,1197
420,490
370,440
462,532
